SKU,UPC,Description,Category,Sub_Category,Supplier_Code,Pack_Size,Unit_of_Measure,Min_Order_Qty,Standard_Cost,Retail_Price,Last_Modified,Active_Flag
100001,223005401501,Banana Cavendish,Fresh Produce,,VENDOR_004,12,lb,1,0.38,0.59,01/15/2024,Y
100002,908053162473,Apple Gala,Fresh Produce,,VENDOR_002,12,lb,3,0.97,1.49,2024/01/15,Y
100003,130201276659,Strawberry 1lb pack,Fresh Produce,,VENDOR_022,1,ea,1,2.59,3.99,2024-01-15,Y
100004,317158893990,Avocado Hass,Fresh produce ,,VENDOR_018,6,ea,1,0.84,1.29,15-01-2024,Y
100005,933251567391,Tomato Roma,FRESH PRODUCE,,VENDOR_007,12,lb,2,1.23,1.89,15-01-2024,Y
100006,336890980656,Cucumber English,Produce,,VENDOR_011,1,ea,1,0.97,1.49,2024-01-15,Y
100007,,Lettuce Romaine,Produce,,VENDOR_018,24,ea,-1,1.62,2.49,2024-01-15,Y
100008,187525138707,Onion Yellow 3lb,Fresh produce ,,VENDOR_007,1,ea,3,2.59,3.99,01/15/2024,Y
100009,176040557040,Pepper Bell Red,Fresh Produce,,VENDOR_005,12,ea,1,1.16,1.79,2024-01-15,Y
100010,357076632102,Mango Café,Fresh Produce,,VENDOR_018,6,ea,1,0.97,1.49,15-01-2024,Y
100011,504425519849,Broccoli Crown,Produce,,VENDOR_002,1,lb,-1,1.49,2.29,01/15/2024,Y
100012,901158030343,Carrot 2lb bag,FRESH PRODUCE,,VENDOR_011,1,ea,2,1.62,2.49,15-01-2024,Y
100013,858663022120,Grape Red Seedless 1lb,Fresh produce ,,VENDOR_001,1,ea,1,2.92,4.49,01/15/2024,Y
100014,,Lemon,Produce,,VENDOR_002,6,ea,1,0.51,0.79,01/15/2024,Y
100015,446680801999,Lime,FRESH PRODUCE,,VENDOR_011,12,ea,2,0.32,0.49,2024/01/15,Y
100016,,Spinach 5oz bag é,FRESH PRODUCE,,VENDOR_022,1,ea,3,2.27,3.49,15-01-2024,Y
100017,743158526982,Mushroom White 8oz,fresh produce,,VENDOR_007,8,ea,2,1.94,2.99,01/15/2024,Y
100018,658939878788,Potato Russet 5lb,fresh produce,,VENDOR_002,1,ea,0,2.92,4.49,01/15/2024,Y
100019,274493552068,Celery Hearts,fresh produce,,VENDOR_011,8,ea,1,2.27,3.49,2024/01/15,Y
100020,681830843906,Cauliflower Head,Produce,,VENDOR_002,8,ea,1,3.24,0.00,15-01-2024,Y
100021,807675742947,Sourdough Loaf,Bakery Dept,,VENDOR_011,1,ea,1,3.24,4.99,01/15/2024,Y
100022,101948728483,French Baguette,Bakery Dept,,VENDOR_022,8,ea,1,2.27,3.49,2024-01-15,Y
100023,,Whole Wheat Bread 24oz,Bakery Dept,,VENDOR_031,24,ea,3,2.59,3.99,01/15/2024,Y
100024,508678332797,Croissant Butter 4pk,BAKERY,,VENDOR_001,8,ea,3,3.89,5.99,15-01-2024,Y
100025,119278414725,Bagel Plain 6pk,Bakery,,VENDOR_004,1,ea,-1,3.24,4.99,2024-01-15,Y
100026,190532572167,Donut Glazed 12pk,bakery,,VENDOR_022,24,ea,1,4.54,6.99,01/15/2024,Y
100027,822105942877,Cake Chocolate 8in é,bakery,,VENDOR_005,8,ea,1,9.74,14.99,2024/01/15,Y
100028,336070141120,Muffin Blueberry 4pk,BAKERY,,VENDOR_011,12,ea,1,3.24,4.99,15-01-2024,Y
100029,596144210356,Cookie Chocolate Chip 12pk,Bakery,,VENDOR_002,1,ea,1,3.89,5.99,15-01-2024,Y
100030,744335435865,Pie Apple 9in,BAKERY,,VENDOR_001,8,ea,1,6.49,9.99,2024-01-15,Y
100031,794529888366,Rolls Dinner 12pk,Bakery,,VENDOR_001,1,ea,1,2.59,3.99,15-01-2024,Y
100032,662945045779,Brioche Loaf,BAKERY,,VENDOR_004,1,ea,2,3.57,5.49,01/15/2024,Y
100033,730855031651,Milk Whole 1gal,Dairy Products,,VENDOR_018,6,ea,1,2.79,4.29,2024/01/15,Y
100034,203897019487,Milk 2% 1gal,Dairy,,VENDOR_007,12,ea,2,2.79,4.29,2024/01/15,Y
100035,612866779068,Half Gallon Skim,Dairy Products,,VENDOR_001,1,ea,1,1.94,2.99,2024/01/15,Y
100036,,Heavy Cream 1pt,Dairy,,VENDOR_004,1,ea,1,2.59,3.99,2024/01/15,Y
100037,564458546356,Butter Salted 1lb,Dairy,,VENDOR_004,1,ea,2,3.57,5.49,2024-01-15,Y
100038,986666495028,Cream Cheese 8oz,Dairy Products,,VENDOR_022,1,ea,1,1.94,2.99,2024-01-15,Y
100039,202946055043,Yogurt Greek Plain 32oz,Dairy,,VENDOR_018,1,ea,2,3.89,5.99,2024/01/15,Y
100040,280640463568,Yogurt Strawberry 6oz é,DAIRY,,VENDOR_005,1,ea,2,0.64,0.99,2024/01/15,Y
100041,565081604082,Cheese Cheddar Block 8oz,Dairy Products,,VENDOR_018,12,ea,3,2.92,4.49,01/15/2024,Y
100042,422938152332,Cheese Mozzarella Shred 8oz,Dairy,,VENDOR_022,1,ea,3,3.24,4.99,2024-01-15,Y
100043,,Eggs Large Dozen,Dairy,,VENDOR_018,1,ea,3,2.59,3.99,01/15/2024,Y
100044,,Eggs Cage Free 18ct,Dairy,,VENDOR_002,1,ea,3,4.54,6.99,01/15/2024,Y
100045,230583221679,Sour Cream 16oz,Dairy Products,,VENDOR_031,1,ea,0,1.62,2.49,2024-01-15,Y
100046,188559569253,Cottage Cheese 24oz,DAIRY,,VENDOR_031,12,ea,3,2.59,3.99,15-01-2024,Y
100047,387482374357,Pizza Pepperoni 12in,FROZEN,,VENDOR_004,12,ea,1,4.54,6.99,15-01-2024,Y
100048,243433808038,Pizza Cheese 12in Müesli,Frozen Foods,,VENDOR_002,6,ea,1,3.89,5.99,2024-01-15,Y
100049,784868121383,Ice Cream Vanilla 1.5qt,Frozen,,VENDOR_004,1,ea,3,3.89,5.99,15-01-2024,Y
100050,,Ice Cream Chocolate 1.5qt,Frozen Foods,,VENDOR_022,,ea,2,3.89,5.99,15-01-2024,Y
100051,989003396697,Vegetables Mixed 16oz,Frozen,,VENDOR_005,12,ea,0,1.62,0.00,2024-01-15,Y
100052,388339584783,Broccoli Frozen 16oz,Frozen,,VENDOR_003,,ea,3,1.29,1.99,15-01-2024,Y
100053,762635097563,Chicken Nuggets 32oz,FROZEN,,VENDOR_004,,ea,1,5.84,0.00,15-01-2024,Y
100054,639041627377,Fish Sticks 24oz,Frozen Foods,,VENDOR_002,24,ea,1,4.87,7.49,2024/01/15,Y
100055,404209733660,French Fries 32oz,Frozen,,VENDOR_003,1,ea,1,2.27,3.49,15-01-2024,Y
100056,182084873288,Burrito Bean 8pk,frozen,,VENDOR_022,8,ea,2,4.54,0.01,2024-01-15,Y
100057,182084873288,Waffles Buttermilk 10ct,FROZEN,,VENDOR_007,8,ea,1,2.27,3.49,01/15/2024,Y
100058,239284873367,Burger Patty Frozen 4ct,Frozen,,VENDOR_001,,ea,1,6.49,9.99,15-01-2024,Y
100059,858663022120,Grape Red Seedless 1lb (legacy),Fresh produce ,,VENDOR_001,1,ea,1,2.92,4.49,01/15/2024,Y
100060,190532572167,Donut Glazed 12pk (legacy),bakery,,VENDOR_022,24,ea,1,4.54,6.99,01/15/2024,Y
100061,101948728483,French Baguette (legacy),Bakery Dept,,VENDOR_022,8,ea,1,2.27,3.49,2024-01-15,Y
100062,658939878788,Potato Russet 5lb (legacy),fresh produce,,VENDOR_002,1,ea,0,2.92,4.49,01/15/2024,Y
100063,182084873288,Burrito Bean 8pk (legacy),frozen,,VENDOR_022,8,ea,2,4.54,0.01,2024-01-15,Y
